user_id,financial_health_score,engagement_score,financial_category,enhanced_segment,credit_score,dti_ratio,income,missed_payments,click_rate,avg_time_viewed,total_interactions,primary_recommendation,secondary_recommendation,tertiary_recommendation,financial_priorities,urgency_flags,strategy,ml_confidence,weight_method
user_019,0.7388442430557777,-15.482863236866628,Good,Activation_Needed,800,0.42,33219.9,1,0.2222222222222222,32.28888888888889,9,insights,improve,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.61,ML_Learned
user_020,0.7260758454161137,-10.71910472634192,Good,Debt_Management_Priority,732,0.7,47474.79,0,0.375,19.8875,8,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 70.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.63,ML_Learned
user_021,0.8857741150679701,-19.866294846625607,Excellent,Activation_Needed,972,0.19,50977.97,0,0.5555555555555556,44.666666666666664,9,insights,protect,improve,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.53,ML_Learned
user_022,0.42159735054941216,-17.173897007577175,Poor,Payment_Recovery_Priority,419,0.5,35849.77,3,0.125,38.5125,8,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 3 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",0.87,ML_Learned
user_023,0.7592193044541284,-11.425219517560816,Good,Payment_Recovery_Priority,810,0.3,33571.16,2,0.2,19.35,10,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",0.63,ML_Learned
user_024,0.7902028916181746,-12.297056326508969,Good,Activation_Needed,878,0.49,37429.86,0,0.4,21.740000000000002,10,insights,improve,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.81,ML_Learned
user_025,0.6094471098981207,-12.989789122710853,Fair,Activation_Needed,761,0.36,32611.82,0,0.5,26.325,8,insights,drivescore,improve,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.46,ML_Learned
user_026,0.7547385009476021,-14.683643663528857,Good,Payment_Recovery_Priority,714,0.18,51228.39,3,0.2,35.32,5,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 3 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",0.68,ML_Learned
user_027,0.8274115488735482,-13.175509007964717,Excellent,Activation_Needed,925,0.31,48192.97,0,0.5555555555555556,25.5,9,insights,protect,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.87,ML_Learned
user_028,0.5094103731056357,-19.75413675802713,Fair,Debt_Management_Priority,601,0.51,26589.82,1,0.3333333333333333,40.483333333333334,12,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 51.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.81,ML_Learned
user_029,0.8165600505664127,-18.254965906798894,Excellent,Activation_Needed,864,0.21,52968.41,1,0.375,41.475,8,insights,improve,protect,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.79,ML_Learned
user_030,0.8077859635339629,-8.777322314469684,Excellent,Activation_Needed,856,0.27,24950.73,1,0.375,14.325000000000001,8,insights,drivescore,improve,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.71,ML_Learned
user_031,0.7255673172794831,-15.634939911268948,Good,Debt_Management_Priority,772,0.54,36314.54,1,0.3333333333333333,28.683333333333334,12,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 54.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.6,ML_Learned
user_032,0.8473954357197885,-7.397839925222112,Excellent,Activation_Needed,941,0.27,42865.97,0,0.3333333333333333,13.049999999999999,6,insights,drivescore,protect,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.94,ML_Learned
user_033,0.8510903638391997,-17.76669921637319,Excellent,Activation_Needed,900,0.19,42675.06,1,0.16666666666666666,26.916666666666668,18,insights,drivescore,improve,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.96,ML_Learned
user_034,0.8043411189841526,-13.935284965019179,Excellent,Activation_Needed,919,0.38,42280.17,0,0.2857142857142857,21.185714285714287,14,insights,drivescore,protect,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.93,ML_Learned
user_035,0.8446191807276293,-14.5845191599436,Excellent,Activation_Needed,917,0.16,28187.75,1,0.35714285714285715,23.007142857142856,14,insights,protect,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.83,ML_Learned
user_036,0.6692151558932984,-14.700980913657487,Good,Debt_Management_Priority,680,0.69,40753.32,1,0.0,34.15,6,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 69.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.74,ML_Learned
user_037,0.920868030416876,-17.07953406184554,Excellent,Activation_Needed,1000,0.09,45514.83,0,0.25,38.175,8,insights,improve,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.91,ML_Learned
user_038,0.6752200987542628,-12.880244513538244,Good,Payment_Recovery_Priority,668,0.59,41495.74,2,0.2222222222222222,24.833333333333332,9,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",0.8,ML_Learned
user_039,0.7844180993186386,-17.636898351967353,Good,Debt_Management_Priority,876,0.51,36525.5,0,0.2,43.78,5,insights,improve,protect,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 51.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.47,ML_Learned
user_040,0.8211727253136758,-18.303491973468986,Excellent,Activation_Needed,944,0.3,37872.53,0,0.3,39.0,10,insights,protect,improve,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.83,ML_Learned
user_041,0.6332056901484124,-10.778538844865063,Fair,Payment_Recovery_Priority,595,0.54,42818.75,3,0.4,17.39,10,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 3 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",0.79,ML_Learned
user_042,0.7978076082730924,-14.099801400072533,Good,Activation_Needed,845,0.28,52723.5,1,0.2727272727272727,25.645454545454548,11,insights,improve,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.82,ML_Learned
user_043,0.6307807565058072,-9.00978668196174,Fair,Activation_Needed,745,0.36,41041.53,0,0.14285714285714285,16.442857142857143,7,drivescore,improve,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.71,ML_Learned
user_044,0.6495295715869436,-20.82966908293032,Fair,Debt_Management_Priority,746,0.87,23835.08,0,0.23076923076923078,42.29230769230769,13,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 87.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.76,ML_Learned
user_045,0.8561070588737504,-13.703175525158759,Excellent,Activation_Needed,952,0.29,47045.04,0,0.6666666666666666,30.933333333333334,6,insights,protect,improve,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.84,ML_Learned
user_046,0.7302996561411793,-10.996123036336394,Good,Debt_Management_Priority,754,0.54,43006.0,1,0.2727272727272727,16.754545454545454,11,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 54.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.52,ML_Learned
user_047,0.7736735197849403,-17.523714473828164,Good,Payment_Recovery_Priority,797,0.28,44436.21,2,0.13333333333333333,30.220000000000002,15,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",0.65,ML_Learned
user_048,0.8110701851333296,-14.827697481670143,Excellent,Activation_Needed,864,0.27,60495.92,1,0.4375,21.00625,16,insights,improve,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.83,ML_Learned
user_049,0.748640228406357,-15.155205873900243,Good,Payment_Recovery_Priority,771,0.29,46750.54,2,0.25,32.6625,8,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",0.64,ML_Learned
user_050,0.7534661619291232,-15.23317179802431,Good,Activation_Needed,751,0.47,50158.4,1,0.1111111111111111,31.633333333333333,9,insights,improve,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.6,ML_Learned
user_051,0.5466110530372992,-7.248442434995762,Fair,Payment_Recovery_Priority,524,0.78,22037.94,3,0.25,10.0125,8,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 3 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",0.85,ML_Learned
user_052,0.7365477525977847,-16.24547859663326,Good,Debt_Management_Priority,763,0.51,41341.92,1,0.5454545454545454,31.645454545454548,11,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 51.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.43,ML_Learned
user_053,0.8233298631845425,-24.725357511521803,Excellent,Activation_Needed,932,0.31,43511.29,0,0.3333333333333333,46.761111111111106,18,insights,protect,improve,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.8,ML_Learned
user_054,0.7897443610924283,-11.149640107601734,Good,Activation_Needed,876,0.44,33446.89,0,0.36363636363636365,17.145454545454545,11,insights,protect,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.81,ML_Learned
user_055,0.8478204081805911,-14.270988465654096,Excellent,Activation_Needed,898,0.2,42000.42,1,0.14285714285714285,31.514285714285716,7,insights,improve,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.91,ML_Learned
user_056,0.7446693029070656,-18.40185044285677,Good,Debt_Management_Priority,819,0.59,43874.23,0,0.6153846153846154,35.13076923076923,13,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 59.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.47,ML_Learned
user_057,0.643959477013547,-16.346563864374694,Fair,Debt_Management_Priority,697,0.82,22381.4,1,0.25,30.766666666666666,12,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 82.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.81,ML_Learned
user_058,0.7553561715164251,-16.71019352951931,Good,Activation_Needed,806,0.46,36073.65,1,0.25,31.808333333333337,12,insights,improve,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.56,ML_Learned
user_059,0.7857579212601962,-15.811374557027092,Good,Activation_Needed,830,0.37,48984.53,1,0.375,34.475,8,insights,improve,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.6,ML_Learned
user_060,0.7990783621131685,-15.931745322508595,Good,Debt_Management_Priority,829,0.55,51140.44,0,0.23076923076923078,28.26153846153846,13,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 55.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.55,ML_Learned
user_061,0.8686512976806987,-19.981280086547518,Excellent,Activation_Needed,920,0.0,36557.47,1,0.2,43.86,10,insights,improve,protect,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.84,ML_Learned
user_062,0.765455469198737,-16.820008291557503,Good,Payment_Recovery_Priority,760,0.0,30836.91,3,0.4166666666666667,32.03333333333333,12,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 3 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",0.63,ML_Learned
user_063,0.6975252915758533,-16.60574689261049,Good,Debt_Management_Priority,747,0.89,38922.49,0,0.23076923076923078,30.192307692307693,13,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 89.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.67,ML_Learned
user_064,0.6634395979306033,-14.301714144493223,Good,Debt_Management_Priority,697,0.64,22704.44,1,0.16666666666666666,32.916666666666664,6,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 64.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.76,ML_Learned
user_065,0.8650178179749233,-11.904773481852246,Excellent,Activation_Needed,917,0.35,58998.75,0,0.3,20.669999999999998,10,insights,protect,improve,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.89,ML_Learned
user_066,0.7264555846675133,-9.634133329059548,Good,Debt_Management_Priority,781,0.77,36175.31,0,0.6,20.64,5,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 77.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.53,ML_Learned
user_067,0.8204966107515289,-16.20027184446154,Excellent,Activation_Needed,899,0.4,50624.0,0,0.23076923076923078,29.03076923076923,13,insights,protect,improve,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.91,ML_Learned
user_068,0.5401032619364317,-15.19668689620979,Fair,Debt_Management_Priority,683,0.6,28730.62,0,0.0,34.24285714285714,7,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 60.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.86,ML_Learned
user_069,0.5238812728762027,-14.286242722744337,Fair,Payment_Recovery_Priority,529,0.42,38255.79,2,0.45454545454545453,26.08181818181818,11,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",0.79,ML_Learned
user_070,0.7268056068858019,-15.100114932004226,Good,Debt_Management_Priority,772,0.57,23661.33,1,0.375,32.4375,8,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 57.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.62,ML_Learned
user_071,0.7929106528883026,-15.08985974163491,Good,Activation_Needed,857,0.45,40916.72,0,0.25,27.166666666666668,12,insights,improve,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.88,ML_Learned
user_072,0.6215751041945133,-12.998990563888857,Fair,Debt_Management_Priority,718,0.96,14969.72,1,0.08333333333333333,21.266666666666666,12,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 96.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.79,ML_Learned
user_073,0.784568101942972,-20.669681298280523,Good,Activation_Needed,832,0.37,47624.99,1,0.375,37.775,16,insights,improve,protect,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.56,ML_Learned
user_074,0.8190290809828307,-17.07688874054295,Excellent,Activation_Needed,920,0.38,42371.1,0,0.11764705882352941,26.294117647058822,17,insights,drivescore,improve,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.96,ML_Learned
user_075,0.897919473764229,-11.756849772172703,Excellent,Activation_Needed,977,0.18,46095.15,0,0.2,20.3,10,insights,drivescore,protect,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.95,ML_Learned
user_076,0.9010376735986666,-10.833735826880709,Excellent,Activation_Needed,940,0.0,43935.58,1,0.3333333333333333,18.91111111111111,9,insights,drivescore,protect,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.89,ML_Learned
user_077,0.7409710524645847,-12.027408945214791,Good,Payment_Recovery_Priority,711,0.27,51065.94,3,0.5555555555555556,22.211111111111112,9,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 3 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",0.65,ML_Learned
user_078,0.599495875125687,-18.068513507045246,Fair,Payment_Recovery_Priority,604,0.84,32008.87,2,0.1111111111111111,39.75555555555556,9,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",0.88,ML_Learned
user_079,0.8313223923969907,-11.971493447815543,Excellent,Payment_Recovery_Priority,833,0.1,55456.82,2,0.3333333333333333,30.133333333333336,3,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",0.68,ML_Learned
