user_id,financial_health_score,engagement_score,financial_category,enhanced_segment,credit_score,dti_ratio,income,missed_payments,click_rate,avg_time_viewed,total_interactions,primary_recommendation,secondary_recommendation,tertiary_recommendation,financial_priorities,urgency_flags,strategy,weight_method
user_010,0.54323526,0.4501111111111111,Fair,Payment_Recovery_Priority,614,0.73,34356.84,2,0.2222222222222222,27.244444444444444,9,improve,insights,protect,"URGENT_PAYMENT_MANAGEMENT, Credit_Repair, Debt_Reduction",STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",Manual
user_011,0.44883397,0.577923076923077,Poor,Debt_Management_Priority,591,1.06,24355.98,1,0.23076923076923078,37.12307692307692,13,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Credit_Repair, Debt_Reduction, Debt_Consolidation",HIGH_DEBT_BURDEN,"🚨 CRITICAL: DTI 106.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_012,0.74799898,0.7090416666666666,Good,Growth_Focused,811,0.36,59799.32,1,0.5,41.80833333333333,12,improve,insights,drivescore,"Wealth_Building, Homeownership_Ready",STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.36.,Manual
user_013,0.76468994,0.5720714285714286,Good,Growth_Focused,921,0.33,47259.96,0,0.42857142857142855,45.128571428571426,7,improve,insights,drivescore,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.33.,Manual
user_014,0.363508995,0.68253125,Poor,Payment_Recovery_Priority,359,1.12,30539.33,4,0.4375,41.50625,16,improve,insights,protect,"URGENT_PAYMENT_MANAGEMENT, Credit_Repair, Debt_Reduction, Payment_Management, Debt_Consolidation","HIGH_DEBT_BURDEN, CRITICAL_CREDIT_SCORE","🚨 PAYMENT ISSUES: 4 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",Manual
user_015,0.74360622,0.434,Good,Mainstream,800,0.0,55737.48,0,0.2222222222222222,24.022222222222222,9,improve,insights,drivescore,"Legal_Financial_Issues, Wealth_Building, Homeownership_Ready",LEGAL_ACTION,Provide balanced financial content for users with decent financial health. Focus on practical advice and gradual improvement. Build on solid financial foundation.,Manual
user_016,0.741874045,0.48942857142857144,Good,Mainstream,898,0.43,33316.03,0,0.2857142857142857,15.028571428571428,14,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Provide balanced financial content for users with decent financial health. Focus on practical advice and gradual improvement. Build on solid financial foundation.,Manual
user_017,0.822549785,0.57178125,Excellent,Premium_Engaged,954,0.27,49233.19,0,0.375,24.35625,16,protect,improve,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Offer premium wealth management and investment content. Focus on portfolio optimization and advanced financial strategies. Credit score: 954.,Manual
user_018,0.5933736150000001,0.5518636363636364,Fair,Debt_Management_Priority,683,0.7,38982.41,1,0.36363636363636365,26.281818181818185,11,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Debt_Reduction",STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 70.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_019,0.66982985,0.47533333333333333,Good,Mainstream,800,0.42,33219.9,1,0.2222222222222222,32.28888888888889,9,improve,insights,drivescore,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Provide balanced financial content for users with decent financial health. Focus on practical advice and gradual improvement. Build on solid financial foundation.,Manual
user_020,0.635812185,0.4494375,Fair,Debt_Management_Priority,732,0.7,47474.79,0,0.375,19.8875,8,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Debt_Reduction, Homeownership_Ready",STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 70.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_021,0.850566955,0.6705555555555556,Excellent,Premium_Engaged,972,0.19,50977.97,0,0.5555555555555556,44.666666666666664,9,protect,improve,insights,Wealth_Building,STABLE_FINANCIAL_POSITION,Offer premium wealth management and investment content. Focus on portfolio optimization and advanced financial strategies. Credit score: 972.,Manual
user_022,0.40947465499999997,0.44256249999999997,Poor,Payment_Recovery_Priority,419,0.5,35849.77,3,0.125,38.5125,8,improve,insights,protect,"URGENT_PAYMENT_MANAGEMENT, Credit_Repair, Payment_Management, Legal_Financial_Issues","CRITICAL_CREDIT_SCORE, LEGAL_ACTION","🚨 PAYMENT ISSUES: 3 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",Manual
user_023,0.71835674,0.42675,Good,Payment_Recovery_Priority,810,0.3,33571.16,2,0.2,19.35,10,improve,insights,protect,URGENT_PAYMENT_MANAGEMENT,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",Manual
user_024,0.7270447899999999,0.5187,Good,Growth_Focused,878,0.49,37429.86,0,0.4,21.740000000000002,10,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.49.,Manual
user_025,0.61721773,0.531625,Fair,Growth_Focused,761,0.36,32611.82,0,0.5,26.325,8,improve,insights,drivescore,Legal_Financial_Issues,LEGAL_ACTION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.36.,Manual
user_026,0.721042585,0.38160000000000005,Good,Payment_Recovery_Priority,714,0.18,51228.39,3,0.2,35.32,5,improve,insights,protect,"URGENT_PAYMENT_MANAGEMENT, Payment_Management, Wealth_Building, Homeownership_Ready",STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 3 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",Manual
user_027,0.772289455,0.5747222222222222,Good,Growth_Focused,925,0.31,48192.97,0,0.5555555555555556,25.5,9,improve,insights,drivescore,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.31.,Manual
user_028,0.49768472999999996,0.63575,Fair,Debt_Management_Priority,601,0.51,26589.82,1,0.3333333333333333,40.483333333333334,12,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Credit_Repair, Legal_Financial_Issues",LEGAL_ACTION,"🚨 CRITICAL: DTI 51.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_029,0.771152615,0.557375,Good,Growth_Focused,864,0.21,52968.41,1,0.375,41.475,8,improve,insights,drivescore,"Wealth_Building, Homeownership_Ready",STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.21.,Manual
user_030,0.7617260950000001,0.421625,Good,Mainstream,856,0.27,24950.73,1,0.375,14.325000000000001,8,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Provide balanced financial content for users with decent financial health. Focus on practical advice and gradual improvement. Build on solid financial foundation.,Manual
user_031,0.65607181,0.57675,Good,Debt_Management_Priority,772,0.54,36314.54,1,0.3333333333333333,28.683333333333334,12,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Homeownership_Ready",STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 54.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_032,0.799098955,0.34858333333333336,Good,Mainstream,941,0.27,42865.97,0,0.3333333333333333,13.049999999999999,6,improve,insights,drivescore,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Provide balanced financial content for users with decent financial health. Focus on practical advice and gradual improvement. Build on solid financial foundation.,Manual
user_033,0.8215125900000001,0.50125,Excellent,Premium_Engaged,900,0.19,42675.06,1,0.16666666666666666,26.916666666666668,18,protect,improve,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Offer premium wealth management and investment content. Focus on portfolio optimization and advanced financial strategies. Credit score: 900.,Manual
user_034,0.744120255,0.5202142857142857,Good,Growth_Focused,919,0.38,42280.17,0,0.2857142857142857,21.185714285714287,14,improve,insights,drivescore,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.38.,Manual
user_035,0.812381625,0.5578928571428572,Excellent,Premium_Engaged,917,0.16,28187.75,1,0.35714285714285715,23.007142857142856,14,protect,improve,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Offer premium wealth management and investment content. Focus on portfolio optimization and advanced financial strategies. Credit score: 917.,Manual
user_036,0.57762998,0.32075,Fair,Debt_Management_Priority,680,0.69,40753.32,1,0.0,34.15,6,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Debt_Reduction",STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 69.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_037,0.895772245,0.49087499999999995,Excellent,Premium_Moderate,1000,0.09,45514.83,0,0.25,38.175,8,protect,improve,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Offer premium content with clear value propositions. Balance wealth building with practical financial advice. Leverage high financial health score: 0.90.,Manual
user_038,0.60514361,0.43805555555555553,Fair,Payment_Recovery_Priority,668,0.59,41495.74,2,0.2222222222222222,24.833333333333332,9,improve,insights,protect,"URGENT_PAYMENT_MANAGEMENT, Homeownership_Ready",STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",Manual
user_039,0.72008825,0.42390000000000005,Good,Debt_Management_Priority,876,0.51,36525.5,0,0.2,43.78,5,improve,insights,drivescore,URGENT_DTI_REDUCTION,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 51.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_040,0.765008795,0.565,Good,Growth_Focused,944,0.3,37872.53,0,0.3,39.0,10,improve,insights,drivescore,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.30.,Manual
user_041,0.5627281249999999,0.49695,Fair,Payment_Recovery_Priority,595,0.54,42818.75,3,0.4,17.39,10,improve,insights,protect,"URGENT_PAYMENT_MANAGEMENT, Credit_Repair, Payment_Management",STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 3 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",Manual
user_042,0.74758525,0.5123181818181818,Good,Growth_Focused,845,0.28,52723.5,1,0.2727272727272727,25.645454545454548,11,improve,insights,drivescore,"Wealth_Building, Homeownership_Ready",STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.28.,Manual
user_043,0.645062295,0.3143571428571429,Fair,Mainstream,745,0.36,41041.53,0,0.14285714285714285,16.442857142857143,7,improve,insights,drivescore,Legal_Financial_Issues,LEGAL_ACTION,Provide balanced financial content for users with decent financial health. Focus on practical advice and gradual improvement. Build on solid financial foundation.,Manual
user_044,0.54205262,0.6037692307692307,Fair,Debt_Management_Priority,746,0.87,23835.08,0,0.23076923076923078,42.29230769230769,13,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Debt_Reduction, Debt_Consolidation",HIGH_DEBT_BURDEN,"🚨 CRITICAL: DTI 87.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_045,0.81366756,0.5713333333333334,Excellent,Premium_Engaged,952,0.29,47045.04,0,0.6666666666666666,30.933333333333334,6,protect,improve,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Offer premium wealth management and investment content. Focus on portfolio optimization and advanced financial strategies. Credit score: 952.,Manual
user_046,0.660709,0.4678636363636363,Good,Debt_Management_Priority,754,0.54,43006.0,1,0.2727272727272727,16.754545454545454,11,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Homeownership_Ready",STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 54.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_047,0.735754315,0.5044333333333333,Good,Payment_Recovery_Priority,797,0.28,44436.21,2,0.13333333333333333,30.220000000000002,15,improve,insights,protect,URGENT_PAYMENT_MANAGEMENT,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",Manual
user_048,0.76744388,0.58003125,Good,Growth_Focused,864,0.27,60495.92,1,0.4375,21.00625,16,improve,insights,drivescore,"Wealth_Building, Homeownership_Ready",STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.27.,Manual
user_049,0.6989258099999999,0.4633125,Good,Payment_Recovery_Priority,771,0.29,46750.54,2,0.25,32.6625,8,improve,insights,protect,"URGENT_PAYMENT_MANAGEMENT, Homeownership_Ready",STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",Manual
user_050,0.6880376,0.4276111111111111,Good,Mainstream,751,0.47,50158.4,1,0.1111111111111111,31.633333333333333,9,improve,insights,drivescore,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Provide balanced financial content for users with decent financial health. Focus on practical advice and gradual improvement. Build on solid financial foundation.,Manual
user_051,0.45025691,0.35006249999999994,Fair,Payment_Recovery_Priority,524,0.78,22037.94,3,0.25,10.0125,8,improve,insights,protect,"URGENT_PAYMENT_MANAGEMENT, Credit_Repair, Debt_Reduction, Payment_Management",STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 3 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",Manual
user_052,0.66841288,0.6514090909090908,Good,Debt_Management_Priority,763,0.51,41341.92,1,0.5454545454545454,31.645454545454548,11,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Homeownership_Ready",STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 51.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_053,0.767366935,0.6671388888888888,Good,Growth_Focused,932,0.31,43511.29,0,0.3333333333333333,46.761111111111106,18,improve,insights,drivescore,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.31.,Manual
user_054,0.722970335,0.5061818181818182,Good,Growth_Focused,876,0.44,33446.89,0,0.36363636363636365,17.145454545454545,11,improve,insights,drivescore,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.44.,Manual
user_055,0.8174006300000001,0.38971428571428574,Excellent,Premium_Moderate,898,0.2,42000.42,1,0.14285714285714285,31.514285714285716,7,protect,improve,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Offer premium content with clear value propositions. Balance wealth building with practical financial advice. Leverage high financial health score: 0.82.,Manual
user_056,0.6640113449999999,0.7218076923076924,Good,Debt_Management_Priority,819,0.59,43874.23,0,0.6153846153846154,35.13076923076923,13,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Homeownership_Ready",STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 59.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_057,0.5526721,0.5538333333333334,Fair,Debt_Management_Priority,697,0.82,22381.4,1,0.25,30.766666666666666,12,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Debt_Reduction, Debt_Consolidation",HIGH_DEBT_BURDEN,"🚨 CRITICAL: DTI 82.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_058,0.695910475,0.5590416666666667,Good,Growth_Focused,806,0.46,36073.65,1,0.25,31.808333333333337,12,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.46.,Manual
user_059,0.734976795,0.522375,Good,Growth_Focused,830,0.37,48984.53,1,0.375,34.475,8,improve,insights,drivescore,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.37.,Manual
user_060,0.73791066,0.5336153846153846,Good,Debt_Management_Priority,829,0.55,51140.44,0,0.23076923076923078,28.26153846153846,13,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Wealth_Building",STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 55.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_061,0.835836205,0.5493,Excellent,Premium_Engaged,920,0.0,36557.47,1,0.2,43.86,10,protect,improve,insights,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Offer premium wealth management and investment content. Focus on portfolio optimization and advanced financial strategies. Credit score: 920.,Manual
user_062,0.729255365,0.6268333333333334,Good,Payment_Recovery_Priority,760,0.0,30836.91,3,0.4166666666666667,32.03333333333333,12,improve,insights,protect,"URGENT_PAYMENT_MANAGEMENT, Payment_Management, Homeownership_Ready",STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 3 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",Manual
user_063,0.609983735,0.5432692307692307,Fair,Debt_Management_Priority,747,0.89,38922.49,0,0.23076923076923078,30.192307692307693,13,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Debt_Reduction, Debt_Consolidation",HIGH_DEBT_BURDEN,"🚨 CRITICAL: DTI 89.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_064,0.56815666,0.38125,Fair,Debt_Management_Priority,697,0.64,22704.44,1,0.16666666666666666,32.916666666666664,6,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Debt_Reduction",STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 64.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_065,0.826098125,0.47335,Excellent,Premium_Moderate,917,0.35,58998.75,0,0.3,20.669999999999998,10,protect,improve,insights,Wealth_Building,STABLE_FINANCIAL_POSITION,Offer premium content with clear value propositions. Balance wealth building with practical financial advice. Leverage high financial health score: 0.83.,Manual
user_066,0.646062965,0.4682,Fair,Debt_Management_Priority,781,0.77,36175.31,0,0.6,20.64,5,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Debt_Reduction",STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 77.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_067,0.765636,0.5374615384615384,Good,Growth_Focused,899,0.4,50624.0,0,0.23076923076923078,29.03076923076923,13,improve,insights,drivescore,"Wealth_Building, Homeownership_Ready",STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.40.,Manual
user_068,0.52799593,0.3462142857142857,Fair,Debt_Management_Priority,683,0.6,28730.62,0,0.0,34.24285714285714,7,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Legal_Financial_Issues",LEGAL_ACTION,"🚨 CRITICAL: DTI 60.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_069,0.531083685,0.5872272727272727,Fair,Payment_Recovery_Priority,529,0.42,38255.79,2,0.45454545454545453,26.08181818181818,11,improve,insights,protect,"URGENT_PAYMENT_MANAGEMENT, Credit_Repair, Legal_Financial_Issues",LEGAL_ACTION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",Manual
user_070,0.6595919950000001,0.5121875,Good,Debt_Management_Priority,772,0.57,23661.33,1,0.375,32.4375,8,improve,insights,drivescore,URGENT_DTI_REDUCTION,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 57.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_071,0.72597508,0.5358333333333334,Good,Growth_Focused,857,0.45,40916.72,0,0.25,27.166666666666668,12,improve,insights,drivescore,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.45.,Manual
user_072,0.5328545800000001,0.43966666666666665,Fair,Debt_Management_Priority,718,0.96,14969.72,1,0.08333333333333333,21.266666666666666,12,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Debt_Reduction, Debt_Consolidation",HIGH_DEBT_BURDEN,"🚨 CRITICAL: DTI 96.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_073,0.733537485,0.6388750000000001,Good,Growth_Focused,832,0.37,47624.99,1,0.375,37.775,16,improve,insights,drivescore,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.37.,Manual
user_074,0.7645566500000001,0.47852941176470587,Good,Mainstream,920,0.38,42371.1,0,0.11764705882352941,26.294117647058822,17,improve,insights,drivescore,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Provide balanced financial content for users with decent financial health. Focus on practical advice and gradual improvement. Build on solid financial foundation.,Manual
user_075,0.867242725,0.4315,Excellent,Premium_Moderate,977,0.18,46095.15,0,0.2,20.3,10,protect,improve,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Offer premium content with clear value propositions. Balance wealth building with practical financial advice. Leverage high financial health score: 0.87.,Manual
user_076,0.8829033700000001,0.45288888888888884,Excellent,Premium_Moderate,940,0.0,43935.58,1,0.3333333333333333,18.91111111111111,9,protect,improve,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Offer premium content with clear value propositions. Balance wealth building with practical financial advice. Leverage high financial health score: 0.88.,Manual
user_077,0.70739891,0.5582777777777778,Good,Payment_Recovery_Priority,711,0.27,51065.94,3,0.5555555555555556,22.211111111111112,9,improve,insights,protect,"URGENT_PAYMENT_MANAGEMENT, Payment_Management, Wealth_Building",STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 3 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",Manual
user_078,0.5092133050000001,0.4682222222222222,Fair,Payment_Recovery_Priority,604,0.84,32008.87,2,0.1111111111111111,39.75555555555556,9,improve,insights,protect,"URGENT_PAYMENT_MANAGEMENT, Credit_Repair, Debt_Reduction, Debt_Consolidation",HIGH_DEBT_BURDEN,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",Manual
